customer_state,customer_count,avg_first_order_value,min_first_order_value,max_first_order_value
PB,504,268.09,29.74,4681.78
RO,231,239.24,34.34,2452.12
AL,387,236.93,32.39,2269.98
PA,922,226.3,26.13,4042.74
PI,464,223.42,34.8,1989.75
TO,267,219.75,26.13,2784.16
RN,464,212.96,34.84,1821.82
CE,1258,209.4,25.43,2734.11
SE,329,208.29,30.97,1729.98
MA,700,207.13,31.85,3195.74
MT,856,206.19,27.29,3242.84
PE,1551,194.94,18.59,3792.59
MS,681,194.11,21.33,6929.31
AM,140,188.51,29.65,1853.75
BA,3158,181.79,21.99,3358.24
GO,1895,171.76,19.0,2794.5
SC,3449,167.46,19.21,3666.42
DF,2019,167.39,20.6,4194.76
RJ,11917,166.7,16.37,13664.08
RS,5168,161.03,19.48,3297.4
MG,11001,160.67,12.89,6081.54
ES,1928,159.77,22.04,7274.88
PR,4769,159.55,11.62,3126.5
SP,39156,142.68,9.59,6726.66
